id,hadis
1,"Barangsiapa yang beriman kepada Allah dan hari akhir, hendaklah berkata baik atau diam."
2,"Sesungguhnya amal itu tergantung pada niatnya."
3,"Kebersihan adalah sebagian dari iman."
4,"Barangsiapa memudahkan kesulitan orang lain, Allah akan memudahkan kesulitannya di dunia dan akhirat."
5,"Sedekah tidak akan mengurangi harta."
6,"Janganlah engkau marah, maka Allah akan memberi pertolongan."
7,"Ilmu adalah warisan para nabi."
8,"Orang yang paling mulia di antara kamu adalah orang yang paling takwa."
9,"Doa adalah senjata orang beriman."
10,"Manusia terbaik adalah yang paling bermanfaat bagi orang lain."
11,"Kamu tidak akan masuk surga hingga kamu beriman, dan kamu tidak akan beriman hingga kamu saling mencintai."
12,"Sebaik-baik kamu adalah yang paling banyak memberi manfaat kepada orang lain."
13,"Jika kamu ingin dihargai, hargailah orang lain."
14,"Barangsiapa memberi makan orang yang berpuasa, maka dia mendapat pahala seperti orang yang berpuasa."
15,"Tuntutlah ilmu dari buaian hingga ke liang lahat."
16,"Sesungguhnya orang yang paling mulia di sisi Allah adalah yang paling bertakwa."
17,"Keberanian adalah hiasan bagi orang yang beriman."
18,"Barangsiapa menempuh jalan untuk mencari ilmu, Allah akan memudahkan baginya jalan menuju surga."
19,"Shalat adalah tiang agama."
20,"Jangan pernah meremehkan sedikit pun amal baik."
21,"Dari Abu Hurairah, Rasulullah SAW bersabda: ‘Lapar adalah sebagian dari ujian bagi umatku.’"
22,"Orang yang sabar dalam menghadapi musibah akan diberikan pahala yang besar."
23,"Barangsiapa yang tidak mensyukuri nikmat Allah, maka ia akan dihadapkan pada kesulitan."
24,"Apabila kamu diberi ujian, bersabarlah, karena Allah menyertai orang yang sabar."
25,"Hindarilah hasad, karena hasad dapat memutuskan persaudaraan."
26,"Barangsiapa yang bersedekah dengan niat yang ikhlas, maka pahalanya akan berlipat ganda."
27,"Shalat tahajjud adalah amal yang sangat dicintai oleh Allah."
28,"Seseorang akan dipanggil sesuai dengan kebiasaannya di dunia."
29,"Harta yang paling berkah adalah harta yang dikeluarkan di jalan Allah."
30,"Siapa yang berbuat baik kepada orang lain, maka Allah akan berbuat baik kepadanya."
31,"Apabila seseorang berdoa dengan penuh keyakinan, maka doanya akan dikabulkan oleh Allah."
32,"Wahai orang yang beriman, berpuasalah dengan penuh kesabaran."
33,"Islam itu adalah agama yang mudah, maka janganlah mempersulit diri."
34,"Tidak ada yang lebih besar daripada iman dan tidak ada yang lebih mahal dari ilmu."
35,"Keadilan adalah prinsip utama dalam Islam."
36,"Jangan biarkan hatimu merasa kecil hanya karena dunia ini, karena surga lebih baik dan lebih abadi."
37,"Hindarilah riba, karena ia akan mendatangkan keburukan yang besar."
38,"Bersikap adil terhadap orang lain adalah tanda dari keimanan yang kuat."
39,"Jangan sekali-kali kamu membenci orang lain, karena kebencian dapat menghapuskan kebaikan."
40,"Perbanyaklah membaca Al-Qur’an, karena ia akan menjadi syafaat bagi kamu di hari kiamat."
41,"Bersyukurlah atas nikmat yang kamu terima, karena Allah akan menambahnya."
42,"Memaafkan orang lain adalah salah satu sifat orang yang bertakwa."
43,"Setiap perbuatan baik yang dilakukan dengan ikhlas akan dihitung sebagai amal saleh."
44,"Tuntutlah ilmu karena sesungguhnya ilmu adalah cahaya yang menerangi kehidupan."
45,"Janganlah kamu merendahkan orang lain, karena kita semua sama di hadapan Allah."
46,"Yang terbaik di antara kalian adalah yang paling bermanfaat bagi orang lain."
47,"Setiap amal perbuatan yang dilandasi dengan niat yang baik akan diterima oleh Allah."
48,"Allah mencintai orang yang berusaha untuk mendekatkan diri kepada-Nya."
49,"Doa orang yang sedang berpuasa tidak akan tertolak."
50,"Wajib bagi umat Islam untuk menjaga kehormatan dan martabat sesama."
51,"Sesungguhnya, kesabaran adalah kunci kesuksesan dalam hidup."
52,"Hidup di dunia ini adalah ujian, dan orang yang sabar adalah orang yang mendapatkan kemenangan."
53,"Barangsiapa yang menjaga shalat lima waktu, maka ia akan mendapatkan perlindungan dari Allah."
54,"Janganlah kamu bersedih hati jika menghadapi cobaan, karena Allah bersamamu."
55,"Islam mengajarkan kita untuk selalu menjaga hubungan dengan sesama."
56,"Jangan biarkan perasaan kesal menguasai hatimu, karena hal itu akan membawamu kepada kesalahan."
57,"Tinggalkanlah kebiasaan buruk dan gantilah dengan perbuatan yang baik."
58,"Ilmu adalah harta yang tidak bisa dicuri oleh siapa pun."
59,"Barangsiapa yang berbuat baik kepada orang lain, maka ia akan mendapatkan balasan yang lebih baik dari Allah."
60,"Janganlah kalian marah, karena marah adalah pintu keburukan."
61,"Setiap amal yang dilakukan dengan niat ikhlas hanya mengharapkan keridhaan Allah akan diterima."
